,link,color,status,name,resolution,screensize,screentech,cpu,rom,ram,gpu,size,rear_cam,front_cam,sim,tech,wifi,bluetooth,weigth,os,port,price
89,https://mac24h.vn/macbook-air-2020-13-inch-core-i5-8gb-256gb.html,,new,Macbook Air 2020,1560 x 1600,13,retina,Intel Iris Plus Graphics & Retina display with True Tone,,8GB 3733MHz LPDDR4X memory,card onboard,undefined,720p FaceTime HD camera,No,No,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,1.3,MacOS,Thunderbolt,22.350.000
90,https://mac24h.vn/ctomacbook-air-2020-13-inch-core-i5-16gb-256gb.html,,new,Macbook Air 2020,1560 x 1600,13,retina,Intel Iris Plus Graphics & Retina display with True Tone,,16GB 3733MHz LPDDR4X memory,card onboard,undefined,720p FaceTime HD camera,No,No,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,1.3,MacOS,Thunderbolt,24.500.000
91,https://mac24h.vn/cto-macbook-pro-13-inch-2020-apple-m1-8-core-cpu-16gb-512gb-ssd-like-new.html,,new,Macbook Pro 13 inch 2020,3072 x 1920,16,retina,"Apple M1 chip with 8-core CPU, 8-core GPU, and 16-core Neural Engine",,16GB unified memory,card onboard,357.9 mm x 245.9 mm,720p FaceTime HD camera,No,No,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,2.0 kg,MacOS,4 x Thunderbolt 3 (USB-C),39.900.000
92,https://mac24h.vn/cto-macbook-pro-13-inch-2020-apple-m1-8-core-cpu-16gb-512gb-ssd.html,,new,Macbook Pro 13 inch 2020,3072 x 1920,16,retina,"Apple M1 chip with 8-core CPU, 8-core GPU, and 16-core Neural Engine",,16GB unified memory,card onboard,357.9 mm x 245.9 mm,720p FaceTime HD camera,No,No,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,2.0 kg,MacOS,4 x Thunderbolt 3 (USB-C),42.500.000
93,https://mac24h.vn/macbook-air-2020-13-inch-core-i7-16gb-256gb-bn-option.html,,new,Macbook Air 2020,1560 x 1600,13,retina,Intel Iris Plus Graphics & Retina display with True Tone,,16GB 3733MHz LPDDR4X memory,card onboard,undefined,720p FaceTime HD camera,No,No,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,1.3,MacOS,Thunderbolt,27.900.000
94,https://mac24h.vn/cto-macbook-pro-13-inch-2020-apple-m1-8-core-cpu-16gb-1tb-ssd.html,,new,Macbook Pro 13 inch 2020,3072 x 1920,16,retina,"Apple M1 chip with 8-core CPU, 8-core GPU, and 16-core Neural Engine",,16GB unified memory,card onboard,357.9 mm x 245.9 mm,720p FaceTime HD camera,No,No,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,2.0 kg,MacOS,4 x Thunderbolt 3 (USB-C),47.500.000
95,https://mac24h.vn/openboxmacbook-air-m1-13-inch-2020-gray-apple-m1-8-core-cpu-8gb-512gb-ssd.html,,new,Macbook Air M1 13 inch 2020,2880 x 1800,15,retina,"Apple M1 chip with 8‑core CPU, ‑core GPU, and 16‑core Neural Engine",,8GB unified memory,Intel Iris Plus 655,349.3 x 240.7 x 15.5,720p FaceTime HD camera,No,No,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,"1,83",MacOS,Thunderbolt,25.990.000
96,https://mac24h.vn/mr962-macbook-pro-15-inch-2018-silver-6-core-i7-32gb-512gb-amd-pro-555x-4gb-new-99.html,,new,Macbook Pro 15 inch 2018,3072 x 1920,16,retina,Hãng không công bố Intel Core i9 Coffee Lake 2.60 GHz,,,card onboard,357.9 mm x 245.9 mm,720p FaceTime HD camera,No,No,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,2.0 kg,MacOS,4 x Thunderbolt 3 (USB-C),38.900.000
97,https://mac24h.vn/mr972-macbook-pro-15-inch-2018-6-core-i7-16gb-512gb-ssd-amd-pro-560x-4gb-new-99.html,,new,Macbook Pro 15 inch 2018,3072 x 1920,16,retina,Hãng không công bố Intel Core i9 Coffee Lake 2.60 GHz,,,card onboard,357.9 mm x 245.9 mm,720p FaceTime HD camera,No,No,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,2.0 kg,MacOS,4 x Thunderbolt 3 (USB-C),38.500.000
98,https://mac24h.vn/new-99-macbook-pro-16-inch-2.3ghz-8-core-i9-1tb-ssd-radeon-pro-5500m-mvvk2-mvvm2.html,,,"【New 99%】 Macbook Pro 16 inch 2.3GHz 8-Core I9 1TB SSD Radeon Pro 5500M ( MVVK2 , MVVM2 )",,,,2.3GHz 8-core 9th-generation Intel Core i9 processor,,16GB 2666MHz DDR4 memory,,,,,,,,,,,,48.900.000
